2021-11-10T23:56:29.7411339+05:30  [INF] Now listening on: "https://localhost:5001" (d826f4b8)
2021-11-10T23:56:29.7537856+05:30  [INF] Now listening on: "http://localhost:5000" (d826f4b8)
2021-11-10T23:56:29.7544258+05:30  [INF] Application started. Press Ctrl+C to shut down. (dcaefe54)
2021-11-10T23:56:29.7544920+05:30  [INF] Hosting environment: "Development" (c3307c92)
2021-11-10T23:56:29.7545281+05:30  [INF] Content root path: "C:\Users\NagaRam\source\repos\VedicHoroo" (b5d60022)
2021-11-10T23:57:28.6396365+05:30 0HMD4EUEPA1LO:00000002 [INF] GetDoshasEx (ca7ee4af)
2021-11-10T23:57:28.9229648+05:30 0HMD4EUEPA1LO:00000002 [INF] AnalyzeD9Ex (bcb81f65)
2021-11-10T23:57:28.9460653+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:28.9530232+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:28.9568650+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.0041103+05:30 0HMD4EUEPA1LO:00000002 [INF] AnalyzeDasamsaEx (57840f70)
2021-11-10T23:57:29.0235975+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:29.0247464+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.0257570+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.1324343+05:30 0HMD4EUEPA1LO:00000002 [INF] AnalyzeMoneyEx (264df1d5)
2021-11-10T23:57:29.1836015+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.1839319+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.1842706+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.1846071+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.1849775+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.1853613+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.2511577+05:30 0HMD4EUEPA1LO:00000002 [INF] AnalyzeD4Ex (092d93c1)
2021-11-10T23:57:29.2919196+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:29.2935648+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.2943282+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.2949578+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.3024918+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.3288340+05:30 0HMD4EUEPA1LO:00000002 [INF] AnalyzeD3Ex (be2ced32)
2021-11-10T23:57:29.3329867+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:29.3333583+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.3555431+05:30 0HMD4EUEPA1LO:00000002 [INF] AnalyzeD7Ex (c0639c54)
2021-11-10T23:57:29.3571197+05:30 0HMD4EUEPA1LO:00000002 [INF] CalcDivChart (f67591a3)
2021-11-10T23:57:29.3580034+05:30 0HMD4EUEPA1LO:00000002 [INF] GetAspects (ed37f986)
2021-11-10T23:57:29.8854569+05:30 0HMD4EUEPA1LO:00000002 [INF] Executing "FileStreamResult", sending file with download name '"bc452ece-babe-48c4-8731-e663b733ae09.pdf"' ... (3ade02d2)
2021-11-10T23:57:30.0809796+05:30 0HMD4EUEPA1LO:00000002 [INF] Executed action "MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)" in 48185.8485ms (afa2e885)
2021-11-10T23:57:30.0829922+05:30 0HMD4EUEPA1LO:00000002 [INF] Executed endpoint '"MyyPub.VedicHorro.VedicHorooController.GeneratePDFDocEx (MyyPub.VedicHoroo)"' (99874f2b)
2021-11-10T23:57:30.1144868+05:30 0HMD4EUEPA1LO:00000002 [INF] Request finished HTTP/1.1 POST https://localhost:5001/api/GeneratePDFDocEx application/json 403 - 200 269400 application/pdf 48581.4854ms (791a596a)
